CustomerID,Recency,Frequency,Monetary,R_score,F_score,M_score,FM_score,Segment,tenure_days,historical_clv,has_sufficient_history,projected_annual_value,churn_probability,risk_tier,value_tier,recommended_action
12346.0,326,4,169.36000000000058,2,3,1,2,Hibernating,321,169.36000000000058,True,192.57445482866112,0.7517574,Medium,Low,"Low-touch, monitor only"
12347.0,2,8,4921.53,5,4,5,4,Champions,402,4921.53,True,4468.553358208956,0.13963349,Low,High,"Reward & retain (loyalty program, VIP perks, early access)"
12348.0,75,5,1658.3999999999999,3,3,4,4,Loyal Customers,362,1658.3999999999999,True,1672.1436464088397,0.46179786,Medium,High,Proactive engagement (early access to new features/products)
12349.0,19,4,3654.54,4,3,5,4,Loyal Customers,716,3654.54,True,1862.9987430167598,0.5413631,Medium,High,Proactive engagement (early access to new features/products)
12350.0,310,1,294.4,2,1,2,2,Hibernating,0,294.4,False,,0.7420815,Medium,Low,"Low-touch, monitor only"
12351.0,375,1,300.93,2,1,2,2,Hibernating,0,300.93,False,,0.88573825,High,Low,Low-cost automated nudge only (not worth heavy investment)
12352.0,36,10,1609.21,4,4,4,4,Loyal Customers,356,1609.21,True,1649.892275280899,0.1872809,Low,High,"Reward & retain (loyalty program, VIP perks, early access)"
12353.0,204,2,406.76,2,2,2,2,Hibernating,204,406.76,True,727.7813725490196,0.7665147,High,Low,Low-cost automated nudge only (not worth heavy investment)
12354.0,232,1,1079.4,2,1,3,2,Hibernating,0,1079.4,False,,0.8877154,High,Medium,Automated retention email / limited-time offer
12355.0,214,2,947.61,2,2,3,2,Hibernating,353,947.61,True,979.8233711048159,0.8443467,High,Medium,Automated retention email / limited-time offer
12356.0,23,6,5611.73,4,4,5,4,Loyal Customers,401,5611.73,True,5107.933790523691,0.34507278,Low,High,"Reward & retain (loyalty program, VIP perks, early access)"
12358.0,2,5,3447.07,5,3,5,4,Champions,730,3447.07,True,1723.535,0.5492539,Medium,High,Proactive engagement (early access to new features/products)
12359.0,8,14,8652.34,5,5,5,5,Champions,726,8652.34,True,4350.00564738292,0.05931693,Low,High,"Reward & retain (loyalty program, VIP perks, early access)"
12360.0,52,6,3612.89,4,4,5,4,Loyal Customers,603,3612.89,True,2186.9068822553895,0.29963827,Low,High,"Reward & retain (loyalty program, VIP perks, early access)"
12361.0,287,4,451.25,2,3,2,2,Hibernating,394,451.25,True,418.0361675126904,0.63200235,Medium,Medium,Standard engagement / newsletter
12362.0,3,13,4665.58,5,5,5,5,Champions,292,4665.58,True,5831.975,0.040804815,Low,High,"Reward & retain (loyalty program, VIP perks, early access)"
12363.0,110,2,552.0,3,2,2,2,Need Attention,132,552.0,True,1526.3636363636363,0.534275,Medium,Medium,Standard engagement / newsletter
12364.0,8,4,1208.1,5,3,4,4,Champions,104,1208.1,True,4239.966346153846,0.24723959,Low,Medium,Maintain relationship / occasional check-in
